City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bethel,US,41.3712,-73.414,78.67,67,100,7.99,overcast clouds
79,Mount Isa,AU,-20.7333,139.5,47.97,66,97,6.91,overcast clouds
80,Airai,TL,-8.9266,125.4092,52.65,91,100,2.71,overcast clouds
81,Kapaa,US,22.0752,-159.319,82.38,70,100,16.11,overcast clouds
82,Karratha,AU,-20.7377,116.8463,59.2,23,3,11.72,clear sky
83,Atar,MR,20.5169,-13.0499,101.68,16,97,20.07,overcast clouds
84,Castro,BR,-24.7911,-50.0119,64.81,65,61,3.47,broken clouds
85,Amahai,ID,-3.3333,128.9167,77.09,85,97,4.88,overcast clouds
86,Bjorkelangen,NO,59.8848,11.5694,63.39,66,100,6.13,overcast clouds
87,Malazgirt,TR,39.1427,42.5401,60.53,49,0,5.14,clear sky
88,Labuan,MY,5.2767,115.2417,77.36,100,20,2.3,few clouds
89,Bafut,CM,6.0833,10.1,63.82,96,89,1.41,moderate rain
90,Sabha,LY,27.0377,14.4283,87.73,25,0,9.6,clear sky
91,Luderitz,NA,-26.6481,15.1594,56.66,59,0,12.59,clear sky
92,Ostersund,SE,63.1792,14.6357,53.62,76,75,9.22,broken clouds
93,Bredasdorp,ZA,-34.5322,20.0403,52.18,78,75,2.06,broken clouds
94,Sepolno Krajenskie,PL,53.452,17.5317,66.74,61,100,6.22,overcast clouds
95,Koumac,NC,-20.5667,164.2833,73.62,84,100,5.26,overcast clouds
96,Olafsvik,IS,64.8945,-23.7142,52.9,76,100,10.16,overcast clouds
97,Busselton,AU,-33.65,115.3333,52.93,62,96,10.27,overcast clouds
98,Faanui,PF,-16.4833,-151.75,79.63,74,9,15.84,clear sky
99,Gelemso,ET,8.8167,40.5167,66.69,47,17,4.03,few clouds
100,Praia,CV,14.9215,-23.5087,81.14,65,20,13.8,few clouds
101,Puerto Colombia,CO,10.9878,-74.9547,82.35,81,100,12.53,overcast clouds
102,Sisimiut,GL,66.9395,-53.6735,44.26,94,99,2.68,light rain
103,Sao Filipe,CV,14.8961,-24.4956,75.24,84,44,6.67,scattered clouds
104,Holme,DK,56.1138,10.1725,58.57,79,40,11.18,scattered clouds
105,Becov,CZ,50.4497,13.7178,69.73,55,91,5.03,overcast clouds
106,Khani,GE,41.9563,42.9566,62.17,91,64,2.77,broken clouds
107,Dajal,PK,29.5577,70.3762,99.45,41,82,2.84,broken clouds
108,Provideniya,RU,64.3833,-173.3,46.72,94,100,7.0,overcast clouds
109,High Level,CA,58.5169,-117.136,75.31,38,20,4.61,few clouds
110,Saskylakh,RU,71.9167,114.0833,47.71,91,93,4.92,overcast clouds
111,Huarmey,PE,-10.0681,-78.1522,68.05,70,5,11.1,clear sky
